well_content,tech_rep,hom_num,date_assay,treatment,hpe,sod_calc
Hom 97 1:3 R2,R2,97,7/2/24,0,96,23.61804365
Hom 98 1:3 R1,R1,98,7/2/24,1,96,5.480666227
Hom 98 1:3 R2,R2,98,7/2/24,1,96,4.528437669
Hom 101 1:3 R1,R1,101,7/2/24,1,96,8.953784938
Hom 101 1:3 R2,R2,101,7/2/24,1,96,12.80188827
Hom 10 1:3 R1,R1,10,7/2/24,10,24,15.13353197
Hom 10 1:3 R2,R2,11,7/2/24,10,24,14.84938862
Hom 11 1:3 R1,R1,11,7/2/24,10,24,2.732312271
Hom 11 1:3 R2,R2,11,7/2/24,10,24,3.027576957
Hom 12 1:3 R1,R1,12,7/2/24,10,24,10.99351
Hom 12 1:3 R2,R2,12,7/2/24,10,24,13.40996262
Hom 44 1:3 R1,R1,44,7/2/24,10,24,14.87853363
Hom 44 1:3 R2,R2,44,7/2/24,10,24,11.73604149
Hom 39 1:3 R1,R1,39,7/2/24,10,24,7.13690319
Hom 39 1:3 R2,R2,39,7/2/24,10,24,13.15818056
Hom 30 1:3 R1,R1,30,7/2/24,10,96,20.03148126
Hom 30 1:3 R2,R2,30,7/2/24,10,96,20.57552957
Hom 31 1:3 R1,R1,31,7/2/24,10,96,16.19798414
Hom 31 1:3 R2,R2,31,7/2/24,10,96,16.68147068
Hom 32 1:3 R1,R1,32,7/2/24,10,96,20.84625634
Hom 32 1:3 R2,R2,32,7/2/24,10,96,19.65537525
Hom 57 1:3 R1,R1,57,7/2/24,10,96,5.782415136
Hom 57 1:3 R2,R2,57,7/2/24,10,96,8.160177192
Hom 58 1:3 R1,R1,58,7/2/24,10,96,27.11045585
Hom 58 1:3 R2,R2,58,7/2/24,10,96,8.762731869
Hom 92 1:3 R1,R1,92,7/2/24,10,96,NA
Hom 92 1:3 R2,R2,92,7/2/24,10,96,NA
Hom 37 1:3 R1,R1,37,7/2/24,0,24,NA
Hom 37 1:3 R2,R2,37,7/2/24,0,24,NA
Hom 8 1:3 R1,R1,8,6/26/24,1,24,0.3867947866
Hom 8 1:3 R2,R2,8,6/26/24,1,24,0.5876989905
Hom 13 1:3 R1,R1,13,6/26/24,100,24,0.4209975902
Hom 13 1:3 R2,R2,13,6/26/24,100,24,0.5827847746
Hom 21 1:3 R1,R1,21,6/26/24,0,96,0.1260300335
Hom 21 1:3 R2,R2,21,6/26/24,0,96,0.1941403417
Hom 23 1:3 R1,R1,23,6/26/24,0,96,0.1723448375
Hom 23 1:3 R2,R2,23,6/26/24,0,96,0.2127641684
Hom 33 1:3 R1,R1,33,6/26/24,100,96,0.3534768338
Hom 33 1:3 R2,R2,33,6/26/24,100,96,0.6054584189
Hom 35 1:3 R1,R1,35,6/26/24,100,96,0.5739548724
Hom 35 1:3 R2,R2,35,6/26/24,100,96,0.342846765
Hom 43 1:3 R1,R1,43,6/26/24,1,24,0.6625276045
Hom 43 1:3 R2,R2,43,6/26/24,1,24,0.7283041233
Hom 46 1:3 R1,R1,46,6/26/24,100,24,0.5495167872
Hom 46 1:3 R2,R2,46,6/26/24,100,24,0.4255209285
Hom 51 1:3 R1,R1,51,6/26/24,0,96,0.9499103081
Hom 51 1:3 R2,R2,51,6/26/24,0,96,1.144390099
Hom 55 1:3 R1,R1,55,6/26/24,1,96,1.304956283
Hom 55 1:3 R2,R2,55,6/26/24,1,96,1.564942262
Hom 59 1:3 R1,R1,59,6/26/24,100,96,0.750312439
Hom 59 1:3 R2,R2,59,6/26/24,100,96,0.9719149795
Hom 60 1:3 R1,R1,60,6/26/24,0,24,0.2872015866
Hom 60 1:3 R2,R2,60,6/26/24,0,24,0.3876815912
Hom 61 1:3 R1,R1,61,6/26/24,0,24,0.6994264887
Hom 61 1:3 R2,R2,61,6/26/24,0,24,0.2185253265
Hom 70 1:3 R1,R1,70,6/26/24,100,24,0.2442890855
Hom 70 1:3 R2,R2,70,6/26/24,100,24,0.3444206571
Hom 27 1:3 R1,R1,27,6/26/24,1,96,0.4731540406
Hom 27 1:3 R2,R2,27,6/26/24,1,96,0.8601707589
Hom 56 1:3 R1,R1,56,6/26/24,1,96,1.387131912
Hom 56 1:3 R2,R2,56,6/26/24,1,96,1.443301069
