experiment,date,initials,stage,stage_2,hpe,jar_id,animal_id,no_sys,no_prim_sys1,no_prim_sys2,health,image,attachment,comments
2,11/15/2023,CV,B2,mid,24,0-R2,S270C001,1,5,14,8,y,attached,
2,11/15/2023,CV,B2,mid,24,0-R3,S266C001,1,10,6,7,y,attached,
2,11/15/2023,CV,B2,mid,24,05-R1,S261C001,1,11,16,5,y,both tied,
2,11/15/2023,CV,C2,late,24,05-R2,S256C001,1,9,8,5,y,both tied,
2,11/15/2023,CV,C1,mid,24,05-R3,S267C001,2,18,12,6,y,attached,
2,11/15/2023,CV,TO,late,24,45-R1,S251C001,1,13,8,5,y,attached,
2,11/15/2023,CV,TO,late,24,45-R2,S263C001,1,10,18,5,y,one tied,
2,11/15/2023,CV,A1,early,24,45-R3,S259C001,1,10,7,10,y,attached,
3,11/28/2023,CV,TO,late,0,0-R1,S277C001,2,12,10,10,y,attached,
3,11/28/2023,CV,B2,mid,0,0-R2,S286C001,2,10,17,10,y,one tied,
3,11/28/2023,CV,B2,mid,0,0-R3,S283C001,2,17,23,8,y,tied,
3,11/28/2023,CV,A1,early,0,05-R1,S295C001,2,9,9,7,y,one tied,
3,11/28/2023,CV,C2,mid,0,05-R2,S290C001,2,5,7,8,y,tied,
3,11/28/2023,CV,C1,mid,0,05-R3,S275C001,2,11,14,7,y,one tied,
3,11/28/2023,CV,B2,mid,0,45-R1,S287C001,2,16,11,10,y,attached,
3,11/28/2023,CV,C1,mid,0,45-R2,S301C001,2,11,7,8,y,tied,
3,11/28/2023,CV,C1,mid,0,45-R3,S291C001,2,18,8,8,y,tied,
3,11/29/2023,CV,A1,early,24,0-R1,S277C001,2,12,10,10,y,attached,
3,11/29/2023,CV,C1,mid,24,0-R2,S286C001,2,10,17,10,y,one tied,
3,11/29/2023,CV,C1,mid,24,0-R3,S283C001,2,17,23,8,y,tied,"one with recessing zooids used for SOD  not RNA, also ampullae reconnected overnight"
3,11/29/2023,CV,A1,early,24,05-R1,S295C001,2,9,9,6,y,one tied,extremely pigminted ampullae retracted
3,11/29/2023,CV,A1,early,24,05-R2,S290C001,2,5,7,6,y,tied,ampullae retracted puffed up zooids
3,11/29/2023,CV,C2,late,24,05-R3,S275C001,2,11,14,5,y,one tied,
3,11/29/2023,CV,C1,mid,24,45-R1,S287C001,2,16,11,6,y,attached,ampullae retracted puffed up tunic
3,11/29/2023,CV,C2,late,24,45-R2,S301C001,2,11,7,6,y,tied,
3,11/30/2023,CV,TO,late,24,45-R3,S291C001,2,18,8,6,y,tied,amp retracted
,,,,,,,,,11.17857143,10.3452381,,,,
,,,,,,,,,10.76190476,,,,,
,,,,,,,,,4.112545572,,,,,
,,,,,,,,,10.76190476,,,,,
