date,experiment,plate_Number,well_Placements,treatment_mg_per_L,replicate,animal_ID,stage_2,stage_at_dissection,initials,hps,no_attached_tissue,no_mono_out,image,percent_media_replaced,tissue_total,prim_bud_no,zooid_no,float_prim,float_zooid,comments
10/25/2023,1,1,A1,5,R1,S200C001,,,CV,0,4,0,,,,,,,,
10/25/2023,1,1,A2,45,R1,S218C001,,,CV,0,0,0,,,,,,,,
10/25/2023,1,1,A3,0,R1,S209C001,,,CV,0,6,0,,,,,,,,
10/25/2023,1,1,A4,0,R4,S212C001,,,CV,0,5,0,,,,,,,,
10/25/2023,1,1,B1,45,R4,S207C001,,,CV,0,6,0,,,,,,,,
10/25/2023,1,1,B2,5,R3,S199C001,,,CV,0,2,0,,,,,,,,
10/25/2023,1,1,B3,45,R2,S215C001,,,CV,0,4,0,,,,,,,,
10/25/2023,1,1,B4,5,R4,S246C001,,,CV,0,4,0,,,,,,,,
10/25/2023,1,1,C1,5,R2,S248C001,,,CV,0,5,0,,,,,,,,
10/25/2023,1,1,C2,45,R3,S224C001,,,CV,0,6,0,,,,,,,,
10/25/2023,1,1,C3,0,R3,S228C001,,,CV,0,2,0,,,,,,,,
10/25/2023,1,1,C4,0,R2,S247C001,,,CV,0,5,0,,,,,,,,
10/26/2023,1,1,A1,5,R1,S200C001,,,CV,24,4,0,,,,,,,,
10/26/2023,1,1,A2,45,R1,S218C001,,,CV,24,0,0,,,,,,,,
10/26/2023,1,1,A3,0,R1,S209C001,,,CV,24,6,0,,,,,,,,
10/26/2023,1,1,A4,0,R4,S212C001,,,CV,24,6,0,,,,,,,,
10/26/2023,1,1,B1,45,R4,S207C001,,,CV,24,0,0,,,,,,,,
10/26/2023,1,1,B2,5,R3,S199C001,,,CV,24,4,0,,,,,,,,
10/26/2023,1,1,B3,45,R2,S215C001,,,CV,24,4,0,,,,,,,,
10/26/2023,1,1,B4,5,R4,S246C001,,,CV,24,5,0,,,,,,,,
10/26/2023,1,1,C1,5,R2,S248C001,,,CV,24,6,1,,,,,,,,
10/26/2023,1,1,C2,45,R3,S224C001,,,CV,24,2,0,,,,,,,,
10/26/2023,1,1,C3,0,R3,S228C001,,,CV,24,5,0,,,,,,,,
10/26/2023,1,1,C4,0,R2,S247C001,,,CV,24,3,0,,,,,,,,
10/27/2023,1,1,A1,5,R1,S200C001,,,CV,48,0,0,,,,,,,,
10/27/2023,1,1,A2,45,R1,S218C001,,,CV,48,4,0,,,,,,,,
10/27/2023,1,1,A3,0,R1,S209C001,,,CV,48,5,0,,,,,,,,
10/27/2023,1,1,A4,0,R4,S212C001,,,CV,48,6,0,,,,,,,,
10/27/2023,1,1,B1,45,R4,S207C001,,,CV,48,0,0,,,,,,,,
10/27/2023,1,1,B2,5,R3,S199C001,,,CV,48,4,0,,,,,,,,
10/27/2023,1,1,B3,45,R2,S215C001,,,CV,48,4,,,,,,,,,
10/27/2023,1,1,B4,5,R4,S246C001,,,CV,48,4,,,,,,,,,
10/27/2023,1,1,C1,5,R2,S248C001,,,CV,48,4,,,,,,,,,
10/27/2023,1,1,C2,45,R3,S224C001,,,CV,48,5,,,,,,,,,
10/27/2023,1,1,C3,0,R3,S228C001,,,CV,48,2,,,,,,,,,
10/27/2023,1,1,C4,0,R2,S247C001,,,CV,48,4,,,,,,,,,
